decision_date,effective_start_date,effective_end_date,window_start_date,window_end_date,window_observations,fund_id,universe,method,solver,one_way_turnover,largest_target_weight,effective_number_of_holdings,equity_sleeve_target_weight,crypto_sleeve_target_weight
2020-12-31,2021-01-04,2021-01-29,2020-01-03,2020-12-31,252,combined_equal_weight,Combined,equal_weight,direct,,0.016666666666666666,60.000000000000014,,
2021-01-29,2021-02-01,2021-02-26,2020-01-03,2021-01-29,271,combined_equal_weight,Combined,equal_weight,direct,0.045735461348319434,0.016666666666666666,60.000000000000014,,
2021-02-26,2021-03-01,2021-03-31,2020-01-03,2021-02-26,290,combined_equal_weight,Combined,equal_weight,direct,0.06775775218129507,0.016666666666666666,60.000000000000014,,
2021-03-31,2021-04-01,2021-04-30,2020-01-03,2021-03-31,313,combined_equal_weight,Combined,equal_weight,direct,0.03509260108878921,0.016666666666666666,60.000000000000014,,
2021-04-30,2021-05-03,2021-05-28,2020-01-03,2021-04-30,334,combined_equal_weight,Combined,equal_weight,direct,0.07475824087043025,0.016666666666666666,60.000000000000014,,
2021-05-28,2021-06-01,2021-06-30,2020-01-03,2021-05-28,354,combined_equal_weight,Combined,equal_weight,direct,0.041721742689391605,0.016666666666666666,60.000000000000014,,
2021-06-30,2021-07-01,2021-07-30,2020-01-03,2021-06-30,376,combined_equal_weight,Combined,equal_weight,direct,0.04903974259352423,0.016666666666666666,60.000000000000014,,
2021-07-30,2021-08-02,2021-08-31,2020-01-03,2021-07-30,397,combined_equal_weight,Combined,equal_weight,direct,0.02445178467116295,0.016666666666666666,60.000000000000014,,
2021-08-31,2021-09-01,2021-09-30,2020-01-03,2021-08-31,419,combined_equal_weight,Combined,equal_weight,direct,0.040609463330625886,0.016666666666666666,60.000000000000014,,
2021-09-30,2021-10-01,2021-10-29,2020-01-03,2021-09-30,440,combined_equal_weight,Combined,equal_weight,direct,0.03429572469883434,0.016666666666666666,60.000000000000014,,
2021-10-29,2021-11-01,2021-11-30,2020-01-03,2021-10-29,461,combined_equal_weight,Combined,equal_weight,direct,0.035170307554484685,0.016666666666666666,60.000000000000014,,
2021-11-30,2021-12-01,2021-12-31,2020-01-03,2021-11-30,482,combined_equal_weight,Combined,equal_weight,direct,0.03591605717422467,0.016666666666666666,60.000000000000014,,
2021-12-31,2022-01-03,2022-01-31,2020-01-03,2021-12-31,504,combined_equal_weight,Combined,equal_weight,direct,0.03913507795630392,0.016666666666666666,60.000000000000014,,
2022-01-31,2022-02-01,2022-02-28,2020-01-03,2022-01-31,524,combined_equal_weight,Combined,equal_weight,direct,0.054608127410295845,0.016666666666666666,60.000000000000014,,
2022-02-28,2022-03-01,2022-03-31,2020-01-03,2022-02-28,543,combined_equal_weight,Combined,equal_weight,direct,0.041592507234068585,0.016666666666666666,60.000000000000014,,
2022-03-31,2022-04-01,2022-04-29,2020-01-03,2022-03-31,566,combined_equal_weight,Combined,equal_weight,direct,0.03297601930324238,0.016666666666666666,60.000000000000014,,
2022-04-29,2022-05-02,2022-05-31,2020-01-03,2022-04-29,586,combined_equal_weight,Combined,equal_weight,direct,0.04480745837108994,0.016666666666666666,60.000000000000014,,
2022-05-31,2022-06-01,2022-06-30,2020-01-03,2022-05-31,607,combined_equal_weight,Combined,equal_weight,direct,0.06687277616482935,0.016666666666666666,60.000000000000014,,
2022-06-30,2022-07-01,2022-07-29,2020-01-03,2022-06-30,628,combined_equal_weight,Combined,equal_weight,direct,0.043922040067420696,0.016666666666666666,60.000000000000014,,
2022-07-29,2022-08-01,2022-08-31,2020-01-03,2022-07-29,648,combined_equal_weight,Combined,equal_weight,direct,0.03801935484948645,0.016666666666666666,60.000000000000014,,
2022-08-31,2022-09-01,2022-09-30,2020-01-03,2022-08-31,671,combined_equal_weight,Combined,equal_weight,direct,0.026334939747044622,0.016666666666666666,60.000000000000014,,
2022-09-30,2022-10-03,2022-10-31,2020-01-03,2022-09-30,692,combined_equal_weight,Combined,equal_weight,direct,0.03977352362301021,0.016666666666666666,60.000000000000014,,
2022-10-31,2022-11-01,2022-11-30,2020-01-03,2022-10-31,713,combined_equal_weight,Combined,equal_weight,direct,0.038868377968473616,0.016666666666666666,60.000000000000014,,
2022-11-30,2022-12-01,2022-12-30,2020-01-03,2022-11-30,734,combined_equal_weight,Combined,equal_weight,direct,0.03433475283210966,0.016666666666666666,60.000000000000014,,
2022-12-30,2023-01-03,2023-01-31,2020-01-03,2022-12-30,755,combined_equal_weight,Combined,equal_weight,direct,0.028707181493547028,0.016666666666666666,60.000000000000014,,
2023-01-31,2023-02-01,2023-02-28,2020-01-03,2023-01-31,775,combined_equal_weight,Combined,equal_weight,direct,0.036508992597519926,0.016666666666666666,60.000000000000014,,
2023-02-28,2023-03-01,2023-03-31,2020-01-03,2023-02-28,794,combined_equal_weight,Combined,equal_weight,direct,0.021301805022005092,0.016666666666666666,60.000000000000014,,
2023-03-31,2023-04-03,2023-04-28,2020-01-03,2023-03-31,817,combined_equal_weight,Combined,equal_weight,direct,0.03468938046122184,0.016666666666666666,60.000000000000014,,
2023-04-28,2023-05-01,2023-05-31,2020-01-03,2023-04-28,836,combined_equal_weight,Combined,equal_weight,direct,0.021714900495798207,0.016666666666666666,60.000000000000014,,
2023-05-31,2023-06-01,2023-06-30,2020-01-03,2023-05-31,858,combined_equal_weight,Combined,equal_weight,direct,0.031125691028957965,0.016666666666666666,60.000000000000014,,
2023-06-30,2023-07-03,2023-07-31,2020-01-03,2023-06-30,879,combined_equal_weight,Combined,equal_weight,direct,0.04414629574385219,0.016666666666666666,60.000000000000014,,
2023-07-31,2023-08-01,2023-08-31,2020-01-03,2023-07-31,899,combined_equal_weight,Combined,equal_weight,direct,0.030509156409318915,0.016666666666666666,60.000000000000014,,
2023-08-31,2023-09-01,2023-09-29,2020-01-03,2023-08-31,922,combined_equal_weight,Combined,equal_weight,direct,0.03277279687160014,0.016666666666666666,60.000000000000014,,
2023-09-29,2023-10-02,2023-10-31,2020-01-03,2023-09-29,942,combined_equal_weight,Combined,equal_weight,direct,0.026668034707894396,0.016666666666666666,60.000000000000014,,
2023-10-31,2023-11-01,2023-11-30,2020-01-03,2023-10-31,964,combined_equal_weight,Combined,equal_weight,direct,0.02332384128745301,0.016666666666666666,60.000000000000014,,
2023-11-30,2023-12-01,2023-12-29,2020-01-03,2023-11-30,985,combined_equal_weight,Combined,equal_weight,direct,0.032786079238401884,0.016666666666666666,60.000000000000014,,
2020-12-31,2021-01-04,2021-01-29,2020-01-03,2020-12-31,252,combined_hierarchical_risk_parity,Combined,hierarchical_risk_parity,two_stage_SLSQP_risk_contribution,,0.04047554371848664,49.991833109559,0.6993438345232195,0.3006561654767806
2021-01-29,2021-02-01,2021-02-26,2020-01-03,2021-01-29,271,combined_hierarchical_risk_parity,Combined,hierarchical_risk_parity,two_stage_SLSQP_risk_contribution,0.06773756798574569,0.03819865092140223,50.92239166334318,0.71247445533421,0.2875255446657899
