decision_date,effective_start_date,effective_end_date,base_fund_id,fund_id,universe,method,fusion_rule,tilt_strength,one_way_turnover,one_way_active_shift_from_base,largest_target_weight,effective_number_of_holdings,equity_sleeve_target_weight,crypto_sleeve_target_weight,earliest_signal_source_date,latest_signal_source_date,variant_label
2020-12-31,2021-01-04,2021-01-29,combined_equal_weight,combined_equal_weight_coverage_rank_sentiment,Combined,equal_weight,coverage_rank,0.25,,0.04035233351780111,0.01992252351964582,59.26101792017557,0.8333333333333334,0.16666666666666666,2020-12-30,2020-12-30,Coverage-Aware Rank Sentiment
2021-01-29,2021-02-01,2021-02-26,combined_equal_weight,combined_equal_weight_coverage_rank_sentiment,Combined,equal_weight,coverage_rank,0.25,0.08439868138914508,0.04173584209555431,0.019184652278177457,59.36217045561917,0.8333333333333334,0.16666666666666666,2021-01-28,2021-01-28,Coverage-Aware Rank Sentiment
2021-02-26,2021-03-01,2021-03-31,combined_equal_weight,combined_equal_weight_coverage_rank_sentiment,Combined,equal_weight,coverage_rank,0.25,0.0774796767984394,0.039922907488986775,0.02064977973568282,59.35619652594505,0.8333333333333334,0.16666666666666666,2021-02-25,2021-02-25,Coverage-Aware Rank Sentiment
2021-03-31,2021-04-01,2021-04-30,combined_equal_weight,combined_equal_weight_coverage_rank_sentiment,Combined,equal_weight,coverage_rank,0.25,0.07229470649057573,0.03673543250090482,0.01954397394136808,59.38860419837955,0.8333333333333335,0.16666666666666666,2021-03-30,2021-03-30,Coverage-Aware Rank Sentiment
2021-04-30,2021-05-03,2021-05-28,combined_equal_weight,combined_equal_weight_coverage_rank_sentiment,Combined,equal_weight,coverage_rank,0.25,0.0986284223370619,0.04136953739257634,0.02057048820625343,59.20250206607798,0.8333333333333334,0.16666666666666666,2021-04-29,2021-04-29,Coverage-Aware Rank Sentiment
2021-05-28,2021-06-01,2021-06-30,combined_equal_weight,combined_equal_weight_coverage_rank_sentiment,Combined,equal_weight,coverage_rank,0.25,0.07970860366247524,0.04164413196322336,0.02028123309897242,59.305989331297205,0.8333333333333336,0.16666666666666666,2021-05-27,2021-05-27,Coverage-Aware Rank Sentiment
2021-06-30,2021-07-01,2021-07-30,combined_equal_weight,combined_equal_weight_coverage_rank_sentiment,Combined,equal_weight,coverage_rank,0.25,0.09746578713137764,0.040190735694822885,0.02043596730245232,59.204317486675755,0.8333333333333335,0.16666666666666666,2021-06-29,2021-06-29,Coverage-Aware Rank Sentiment
2021-07-30,2021-08-02,2021-08-31,combined_equal_weight,combined_equal_weight_coverage_rank_sentiment,Combined,equal_weight,coverage_rank,0.25,0.06833266108936942,0.04446277961129446,0.020627062706270627,59.21680280678511,0.8333333333333333,0.16666666666666666,2021-07-29,2021-07-29,Coverage-Aware Rank Sentiment
2021-08-31,2021-09-01,2021-09-30,combined_equal_weight,combined_equal_weight_coverage_rank_sentiment,Combined,equal_weight,coverage_rank,0.25,0.06068245370409402,0.03962800073300348,0.019791094007696537,59.29912121697734,0.8333333333333335,0.16666666666666666,2021-08-30,2021-08-30,Coverage-Aware Rank Sentiment
2021-09-30,2021-10-01,2021-10-29,combined_equal_weight,combined_equal_weight_coverage_rank_sentiment,Combined,equal_weight,coverage_rank,0.25,0.0580666139304861,0.03554119547657511,0.020193861066235864,59.49192038739473,0.8333333333333335,0.16666666666666666,2021-09-29,2021-09-29,Coverage-Aware Rank Sentiment
