observations,total_return,annualized_return,cagr,annualized_volatility,sharpe_ratio,max_drawdown,final_growth_of_one,fund_id,universe,method,method_label,periods_per_year,risk_free_rate,rebalance_count,average_one_way_turnover,latest_effective_number_of_holdings
753,0.5236892003153522,0.16433693011443073,0.1513526195518089,0.2160038524438884,0.7608055516376531,-0.2787245867171566,1.5236892003153522,combined_equal_weight,Combined,equal_weight,Equal Weight,252,0.0,36,0.03857279968817224,60.000000000000014
753,0.5707219119279183,0.18257706092199455,0.1631262524874335,0.25036106080364945,0.7292550220706413,-0.33512178543727034,1.5707219119279183,combined_hierarchical_risk_parity,Combined,hierarchical_risk_parity,Hierarchical Sleeve Risk Parity,252,0.0,36,0.04297616468020738,54.840810376046235
753,0.2631257682376038,0.13895293106555612,0.08131008843204857,0.3489607129181628,0.39819075879221666,-0.5210003618413179,1.2631257682376038,combined_maximum_sharpe,Combined,maximum_sharpe,Maximum Sharpe,252,0.0,36,0.15425175471607436,4.001343173858538
753,0.2214165037352771,0.0750616447584189,0.06922708517452691,0.1274552183582494,0.5889256299215355,-0.17995001821664847,1.221416503735277,combined_minimum_variance,Combined,minimum_variance,Minimum Variance,252,0.0,36,0.030637268886555033,8.783634516752851
753,0.43277840057665595,0.13558671818632725,0.12789087823871492,0.17439198150177576,0.7774825253932138,-0.22384241904565572,1.432778400576656,combined_risk_parity,Combined,risk_parity,Risk Parity,252,0.0,36,0.0323885400244385,52.63616346564162
1095,1.7737845161866894,0.678707340651091,0.4050471763369514,0.8189033644058297,0.8288002835884543,-0.815713088159332,2.7737845161866894,crypto_equal_weight,Crypto,equal_weight,Equal Weight,365,0.0,36,0.05949408815909132,9.999999999999996
1095,0.4078241259604398,0.4315461074344082,0.12076906308635937,0.79355387424056,0.5438145051555607,-0.8507252655832342,1.4078241259604398,crypto_maximum_sharpe,Crypto,maximum_sharpe,Maximum Sharpe,365,0.0,36,0.06798472371181553,2.3510721365816214
1095,1.0561337214817619,0.45315618582629674,0.2715998028789608,0.6519369223980389,0.6950920714222457,-0.7556309261615877,2.056133721481762,crypto_minimum_variance,Crypto,minimum_variance,Minimum Variance,365,0.0,36,0.02363536726176599,1.285058785224766
1095,1.8506090815533138,0.6746320580070693,0.41790093250059157,0.8026000410282403,0.8405582152011523,-0.8047076622175272,2.850609081553314,crypto_risk_parity,Crypto,risk_parity,Risk Parity,365,0.0,36,0.059983626987221136,9.739270454809244
753,0.4272168148150326,0.13205338524492422,0.1264237978181748,0.16117980666586584,0.8192923665597749,-0.20249210152511687,1.4272168148150326,equity_equal_weight,Equity,equal_weight,Equal Weight,252,0.0,36,0.027239281912380234,49.99999999999999
753,0.4704461529423789,0.15695434208686387,0.13772879836512186,0.23657072666269566,0.6634563130486155,-0.37674775139463845,1.470446152942379,equity_maximum_sharpe,Equity,maximum_sharpe,Maximum Sharpe,252,0.0,36,0.1362100041745999,2.948357787840269
753,0.22141581143127986,0.07506145393719242,0.06922688235551933,0.127455210031412,0.5889241712339035,-0.17995004219487476,1.2214158114312799,equity_minimum_variance,Equity,minimum_variance,Minimum Variance,252,0.0,36,0.030637311784723384,8.783634396480847
753,0.3320494820566,0.1071020781513999,0.10070807279659144,0.14927327664524762,0.7174899657755297,-0.19395230461104163,1.3320494820566,equity_risk_parity,Equity,risk_parity,Risk Parity,252,0.0,36,0.0257757933297295,45.90308251205456
