sector,trading_days,total_headlines,mean_daily_headlines,mean_ticker_coverage,median_ticker_coverage,zero_coverage_days,full_coverage_days,mean_sentiment_compound,sentiment_volatility
Comm,1006,11783,11.71272365805169,0.7566600397614315,0.8,9,299,0.12280657696503215,0.10643273019820496
Consumer,1006,25877,25.722664015904574,0.9391650099403578,1.0,8,761,0.15615091541493628,0.09010813755281938
Energy,1006,19365,19.249502982107355,0.8441351888667993,1.0,10,519,0.13500520425893897,0.10896217403974146
Financials,1006,18269,18.160039761431413,0.8749502982107357,1.0,8,538,0.1212426061750956,0.10101574591498759
Healthcare,1006,14697,14.609343936381709,0.8357852882703778,0.8,9,479,0.14331826760992578,0.10885679609241011
Industrials,1006,13156,13.077534791252486,0.7518886679920477,0.8,8,222,0.11555346413508837,0.09696741073977112
Materials,1006,5393,5.360834990059642,0.5312127236580517,0.6,66,85,0.08047903024039073,0.08795154592338071
RealEstate,1006,5339,5.307157057654075,0.5558648111332009,0.6,66,111,0.1200549324495915,0.11320800605491235
Tech,1006,26632,26.473161033797215,0.8646123260437375,1.0,0,559,0.1593165136511445,0.10294980062617673
Utilities,1006,6319,6.28131212723658,0.5928429423459244,0.6,44,142,0.14228112939933252,0.10942592298424635
